,group1,group2,signf
0,p01_geocnn_r01,p01_geocnn_r02,0.0
1,p01_geocnn_r01,p01_geocnn_r03,-1.0
2,p01_geocnn_r01,p01_geocnn_r04,-1.0
3,p01_geocnn_r01,p01_gpcc-octree-predlift_r02,-1.0
4,p01_geocnn_r01,p01_gpcc-octree-predlift_r03,-1.0
5,p01_geocnn_r01,p01_gpcc-octree-predlift_r04,-1.0
6,p01_geocnn_r01,p01_gpcc-octree-predlift_r05,-1.0
7,p01_geocnn_r01,p01_gpcc-octree-predlift_r06,-1.0
8,p01_geocnn_r01,p01_gpcc-octree-raht_r02,0.0
9,p01_geocnn_r01,p01_gpcc-octree-raht_r03,-1.0
10,p01_geocnn_r01,p01_gpcc-octree-raht_r04,-1.0
11,p01_geocnn_r01,p01_gpcc-octree-raht_r05,-1.0
12,p01_geocnn_r01,p01_gpcc-octree-raht_r06,-1.0
13,p01_geocnn_r01,p01_vpcc_r00,-1.0
14,p01_geocnn_r01,p01_vpcc_r01,-1.0
15,p01_geocnn_r01,p01_vpcc_r02,-1.0
16,p01_geocnn_r01,p01_vpcc_r03,-1.0
17,p01_geocnn_r01,p01_vpcc_r04,-1.0
18,p01_geocnn_r01,p01_vpcc_r05,-1.0
19,p01_geocnn_r02,p01_geocnn_r03,-1.0
20,p01_geocnn_r02,p01_geocnn_r04,-1.0
21,p01_geocnn_r02,p01_gpcc-octree-predlift_r02,-1.0
22,p01_geocnn_r02,p01_gpcc-octree-predlift_r03,-1.0
23,p01_geocnn_r02,p01_gpcc-octree-predlift_r04,-1.0
24,p01_geocnn_r02,p01_gpcc-octree-predlift_r05,-1.0
25,p01_geocnn_r02,p01_gpcc-octree-predlift_r06,-1.0
26,p01_geocnn_r02,p01_gpcc-octree-raht_r02,-1.0
27,p01_geocnn_r02,p01_gpcc-octree-raht_r03,-1.0
28,p01_geocnn_r02,p01_gpcc-octree-raht_r04,-1.0
29,p01_geocnn_r02,p01_gpcc-octree-raht_r05,-1.0
30,p01_geocnn_r02,p01_gpcc-octree-raht_r06,-1.0
31,p01_geocnn_r02,p01_vpcc_r00,-1.0
32,p01_geocnn_r02,p01_vpcc_r01,-1.0
33,p01_geocnn_r02,p01_vpcc_r02,-1.0
34,p01_geocnn_r02,p01_vpcc_r03,-1.0
35,p01_geocnn_r02,p01_vpcc_r04,-1.0
36,p01_geocnn_r02,p01_vpcc_r05,-1.0
37,p01_geocnn_r03,p01_geocnn_r04,0.0
38,p01_geocnn_r03,p01_gpcc-octree-predlift_r02,1.0
39,p01_geocnn_r03,p01_gpcc-octree-predlift_r03,0.0
40,p01_geocnn_r03,p01_gpcc-octree-predlift_r04,0.0
41,p01_geocnn_r03,p01_gpcc-octree-predlift_r05,0.0
42,p01_geocnn_r03,p01_gpcc-octree-predlift_r06,0.0
43,p01_geocnn_r03,p01_gpcc-octree-raht_r02,1.0
44,p01_geocnn_r03,p01_gpcc-octree-raht_r03,1.0
45,p01_geocnn_r03,p01_gpcc-octree-raht_r04,0.0
46,p01_geocnn_r03,p01_gpcc-octree-raht_r05,-1.0
47,p01_geocnn_r03,p01_gpcc-octree-raht_r06,-1.0
48,p01_geocnn_r03,p01_vpcc_r00,1.0
49,p01_geocnn_r03,p01_vpcc_r01,1.0
50,p01_geocnn_r03,p01_vpcc_r02,1.0
51,p01_geocnn_r03,p01_vpcc_r03,0.0
52,p01_geocnn_r03,p01_vpcc_r04,0.0
53,p01_geocnn_r03,p01_vpcc_r05,0.0
54,p01_geocnn_r04,p01_gpcc-octree-predlift_r02,1.0
55,p01_geocnn_r04,p01_gpcc-octree-predlift_r03,0.0
56,p01_geocnn_r04,p01_gpcc-octree-predlift_r04,0.0
57,p01_geocnn_r04,p01_gpcc-octree-predlift_r05,0.0
58,p01_geocnn_r04,p01_gpcc-octree-predlift_r06,0.0
59,p01_geocnn_r04,p01_gpcc-octree-raht_r02,1.0
60,p01_geocnn_r04,p01_gpcc-octree-raht_r03,0.0
61,p01_geocnn_r04,p01_gpcc-octree-raht_r04,0.0
62,p01_geocnn_r04,p01_gpcc-octree-raht_r05,-1.0
63,p01_geocnn_r04,p01_gpcc-octree-raht_r06,-1.0
64,p01_geocnn_r04,p01_vpcc_r00,1.0
65,p01_geocnn_r04,p01_vpcc_r01,1.0
66,p01_geocnn_r04,p01_vpcc_r02,1.0
67,p01_geocnn_r04,p01_vpcc_r03,0.0
68,p01_geocnn_r04,p01_vpcc_r04,0.0
69,p01_geocnn_r04,p01_vpcc_r05,0.0
70,p01_gpcc-octree-predlift_r02,p01_gpcc-octree-predlift_r03,-1.0
71,p01_gpcc-octree-predlift_r02,p01_gpcc-octree-predlift_r04,-1.0
72,p01_gpcc-octree-predlift_r02,p01_gpcc-octree-predlift_r05,-1.0
73,p01_gpcc-octree-predlift_r02,p01_gpcc-octree-predlift_r06,-1.0
74,p01_gpcc-octree-predlift_r02,p01_gpcc-octree-raht_r02,0.0
75,p01_gpcc-octree-predlift_r02,p01_gpcc-octree-raht_r03,-1.0
76,p01_gpcc-octree-predlift_r02,p01_gpcc-octree-raht_r04,-1.0
77,p01_gpcc-octree-predlift_r02,p01_gpcc-octree-raht_r05,-1.0
78,p01_gpcc-octree-predlift_r02,p01_gpcc-octree-raht_r06,-1.0
79,p01_gpcc-octree-predlift_r02,p01_vpcc_r00,0.0
80,p01_gpcc-octree-predlift_r02,p01_vpcc_r01,-1.0
81,p01_gpcc-octree-predlift_r02,p01_vpcc_r02,-1.0
82,p01_gpcc-octree-predlift_r02,p01_vpcc_r03,-1.0
83,p01_gpcc-octree-predlift_r02,p01_vpcc_r04,-1.0
84,p01_gpcc-octree-predlift_r02,p01_vpcc_r05,-1.0
85,p01_gpcc-octree-predlift_r03,p01_gpcc-octree-predlift_r04,0.0
86,p01_gpcc-octree-predlift_r03,p01_gpcc-octree-predlift_r05,-1.0
87,p01_gpcc-octree-predlift_r03,p01_gpcc-octree-predlift_r06,-1.0
88,p01_gpcc-octree-predlift_r03,p01_gpcc-octree-raht_r02,1.0
89,p01_gpcc-octree-predlift_r03,p01_gpcc-octree-raht_r03,0.0
90,p01_gpcc-octree-predlift_r03,p01_gpcc-octree-raht_r04,0.0
91,p01_gpcc-octree-predlift_r03,p01_gpcc-octree-raht_r05,-1.0
92,p01_gpcc-octree-predlift_r03,p01_gpcc-octree-raht_r06,-1.0
93,p01_gpcc-octree-predlift_r03,p01_vpcc_r00,1.0
94,p01_gpcc-octree-predlift_r03,p01_vpcc_r01,1.0
95,p01_gpcc-octree-predlift_r03,p01_vpcc_r02,0.0
96,p01_gpcc-octree-predlift_r03,p01_vpcc_r03,0.0
97,p01_gpcc-octree-predlift_r03,p01_vpcc_r04,0.0
98,p01_gpcc-octree-predlift_r03,p01_vpcc_r05,0.0
99,p01_gpcc-octree-predlift_r04,p01_gpcc-octree-predlift_r05,0.0
100,p01_gpcc-octree-predlift_r04,p01_gpcc-octree-predlift_r06,0.0
101,p01_gpcc-octree-predlift_r04,p01_gpcc-octree-raht_r02,1.0
102,p01_gpcc-octree-predlift_r04,p01_gpcc-octree-raht_r03,0.0
103,p01_gpcc-octree-predlift_r04,p01_gpcc-octree-raht_r04,0.0
104,p01_gpcc-octree-predlift_r04,p01_gpcc-octree-raht_r05,-1.0
105,p01_gpcc-octree-predlift_r04,p01_gpcc-octree-raht_r06,-1.0
106,p01_gpcc-octree-predlift_r04,p01_vpcc_r00,1.0
107,p01_gpcc-octree-predlift_r04,p01_vpcc_r01,1.0
108,p01_gpcc-octree-predlift_r04,p01_vpcc_r02,1.0
109,p01_gpcc-octree-predlift_r04,p01_vpcc_r03,0.0
110,p01_gpcc-octree-predlift_r04,p01_vpcc_r04,0.0
111,p01_gpcc-octree-predlift_r04,p01_vpcc_r05,0.0
112,p01_gpcc-octree-predlift_r05,p01_gpcc-octree-predlift_r06,0.0
113,p01_gpcc-octree-predlift_r05,p01_gpcc-octree-raht_r02,1.0
114,p01_gpcc-octree-predlift_r05,p01_gpcc-octree-raht_r03,1.0
115,p01_gpcc-octree-predlift_r05,p01_gpcc-octree-raht_r04,0.0
116,p01_gpcc-octree-predlift_r05,p01_gpcc-octree-raht_r05,0.0
117,p01_gpcc-octree-predlift_r05,p01_gpcc-octree-raht_r06,0.0
118,p01_gpcc-octree-predlift_r05,p01_vpcc_r00,1.0
119,p01_gpcc-octree-predlift_r05,p01_vpcc_r01,1.0
120,p01_gpcc-octree-predlift_r05,p01_vpcc_r02,1.0
121,p01_gpcc-octree-predlift_r05,p01_vpcc_r03,1.0
122,p01_gpcc-octree-predlift_r05,p01_vpcc_r04,1.0
123,p01_gpcc-octree-predlift_r05,p01_vpcc_r05,0.0
124,p01_gpcc-octree-predlift_r06,p01_gpcc-octree-raht_r02,1.0
125,p01_gpcc-octree-predlift_r06,p01_gpcc-octree-raht_r03,1.0
126,p01_gpcc-octree-predlift_r06,p01_gpcc-octree-raht_r04,0.0
127,p01_gpcc-octree-predlift_r06,p01_gpcc-octree-raht_r05,0.0
128,p01_gpcc-octree-predlift_r06,p01_gpcc-octree-raht_r06,0.0
129,p01_gpcc-octree-predlift_r06,p01_vpcc_r00,1.0
130,p01_gpcc-octree-predlift_r06,p01_vpcc_r01,1.0
131,p01_gpcc-octree-predlift_r06,p01_vpcc_r02,1.0
132,p01_gpcc-octree-predlift_r06,p01_vpcc_r03,1.0
133,p01_gpcc-octree-predlift_r06,p01_vpcc_r04,1.0
134,p01_gpcc-octree-predlift_r06,p01_vpcc_r05,0.0
135,p01_gpcc-octree-raht_r02,p01_gpcc-octree-raht_r03,-1.0
136,p01_gpcc-octree-raht_r02,p01_gpcc-octree-raht_r04,-1.0
137,p01_gpcc-octree-raht_r02,p01_gpcc-octree-raht_r05,-1.0
138,p01_gpcc-octree-raht_r02,p01_gpcc-octree-raht_r06,-1.0
139,p01_gpcc-octree-raht_r02,p01_vpcc_r00,0.0
140,p01_gpcc-octree-raht_r02,p01_vpcc_r01,-1.0
141,p01_gpcc-octree-raht_r02,p01_vpcc_r02,-1.0
142,p01_gpcc-octree-raht_r02,p01_vpcc_r03,-1.0
143,p01_gpcc-octree-raht_r02,p01_vpcc_r04,-1.0
144,p01_gpcc-octree-raht_r02,p01_vpcc_r05,-1.0
145,p01_gpcc-octree-raht_r03,p01_gpcc-octree-raht_r04,-1.0
146,p01_gpcc-octree-raht_r03,p01_gpcc-octree-raht_r05,-1.0
147,p01_gpcc-octree-raht_r03,p01_gpcc-octree-raht_r06,-1.0
148,p01_gpcc-octree-raht_r03,p01_vpcc_r00,1.0
149,p01_gpcc-octree-raht_r03,p01_vpcc_r01,0.0
150,p01_gpcc-octree-raht_r03,p01_vpcc_r02,0.0
151,p01_gpcc-octree-raht_r03,p01_vpcc_r03,0.0
152,p01_gpcc-octree-raht_r03,p01_vpcc_r04,0.0
153,p01_gpcc-octree-raht_r03,p01_vpcc_r05,-1.0
154,p01_gpcc-octree-raht_r04,p01_gpcc-octree-raht_r05,-1.0
155,p01_gpcc-octree-raht_r04,p01_gpcc-octree-raht_r06,-1.0
156,p01_gpcc-octree-raht_r04,p01_vpcc_r00,1.0
157,p01_gpcc-octree-raht_r04,p01_vpcc_r01,1.0
158,p01_gpcc-octree-raht_r04,p01_vpcc_r02,1.0
159,p01_gpcc-octree-raht_r04,p01_vpcc_r03,1.0
160,p01_gpcc-octree-raht_r04,p01_vpcc_r04,0.0
161,p01_gpcc-octree-raht_r04,p01_vpcc_r05,0.0
162,p01_gpcc-octree-raht_r05,p01_gpcc-octree-raht_r06,0.0
163,p01_gpcc-octree-raht_r05,p01_vpcc_r00,1.0
164,p01_gpcc-octree-raht_r05,p01_vpcc_r01,1.0
165,p01_gpcc-octree-raht_r05,p01_vpcc_r02,1.0
166,p01_gpcc-octree-raht_r05,p01_vpcc_r03,1.0
167,p01_gpcc-octree-raht_r05,p01_vpcc_r04,1.0
168,p01_gpcc-octree-raht_r05,p01_vpcc_r05,0.0
169,p01_gpcc-octree-raht_r06,p01_vpcc_r00,1.0
170,p01_gpcc-octree-raht_r06,p01_vpcc_r01,1.0
171,p01_gpcc-octree-raht_r06,p01_vpcc_r02,1.0
172,p01_gpcc-octree-raht_r06,p01_vpcc_r03,1.0
173,p01_gpcc-octree-raht_r06,p01_vpcc_r04,1.0
174,p01_gpcc-octree-raht_r06,p01_vpcc_r05,1.0
175,p01_vpcc_r00,p01_vpcc_r01,0.0
176,p01_vpcc_r00,p01_vpcc_r02,-1.0
177,p01_vpcc_r00,p01_vpcc_r03,-1.0
178,p01_vpcc_r00,p01_vpcc_r04,-1.0
179,p01_vpcc_r00,p01_vpcc_r05,-1.0
180,p01_vpcc_r01,p01_vpcc_r02,0.0
181,p01_vpcc_r01,p01_vpcc_r03,0.0
182,p01_vpcc_r01,p01_vpcc_r04,-1.0
183,p01_vpcc_r01,p01_vpcc_r05,-1.0
184,p01_vpcc_r02,p01_vpcc_r03,0.0
185,p01_vpcc_r02,p01_vpcc_r04,0.0
186,p01_vpcc_r02,p01_vpcc_r05,-1.0
187,p01_vpcc_r03,p01_vpcc_r04,0.0
188,p01_vpcc_r03,p01_vpcc_r05,-1.0
189,p01_vpcc_r04,p01_vpcc_r05,0.0
190,p05_geocnn_r01,p05_geocnn_r02,-1.0
191,p05_geocnn_r01,p05_geocnn_r03,-1.0
192,p05_geocnn_r01,p05_geocnn_r04,-1.0
193,p05_geocnn_r01,p05_gpcc-octree-predlift_r02,0.0
194,p05_geocnn_r01,p05_gpcc-octree-predlift_r03,-1.0
195,p05_geocnn_r01,p05_gpcc-octree-predlift_r04,-1.0
196,p05_geocnn_r01,p05_gpcc-octree-predlift_r05,-1.0
197,p05_geocnn_r01,p05_gpcc-octree-predlift_r06,-1.0
198,p05_geocnn_r01,p05_gpcc-octree-raht_r02,0.0
199,p05_geocnn_r01,p05_gpcc-octree-raht_r03,-1.0
200,p05_geocnn_r01,p05_gpcc-octree-raht_r04,-1.0
201,p05_geocnn_r01,p05_gpcc-octree-raht_r05,-1.0
202,p05_geocnn_r01,p05_gpcc-octree-raht_r06,-1.0
203,p05_geocnn_r01,p05_vpcc_r00,0.0
204,p05_geocnn_r01,p05_vpcc_r01,-1.0
205,p05_geocnn_r01,p05_vpcc_r02,-1.0
206,p05_geocnn_r01,p05_vpcc_r03,-1.0
207,p05_geocnn_r01,p05_vpcc_r04,-1.0
208,p05_geocnn_r01,p05_vpcc_r05,-1.0
209,p05_geocnn_r02,p05_geocnn_r03,-1.0
210,p05_geocnn_r02,p05_geocnn_r04,0.0
211,p05_geocnn_r02,p05_gpcc-octree-predlift_r02,1.0
212,p05_geocnn_r02,p05_gpcc-octree-predlift_r03,0.0
213,p05_geocnn_r02,p05_gpcc-octree-predlift_r04,-1.0
214,p05_geocnn_r02,p05_gpcc-octree-predlift_r05,-1.0
215,p05_geocnn_r02,p05_gpcc-octree-predlift_r06,-1.0
216,p05_geocnn_r02,p05_gpcc-octree-raht_r02,1.0
217,p05_geocnn_r02,p05_gpcc-octree-raht_r03,0.0
218,p05_geocnn_r02,p05_gpcc-octree-raht_r04,-1.0
219,p05_geocnn_r02,p05_gpcc-octree-raht_r05,-1.0
220,p05_geocnn_r02,p05_gpcc-octree-raht_r06,-1.0
221,p05_geocnn_r02,p05_vpcc_r00,1.0
222,p05_geocnn_r02,p05_vpcc_r01,0.0
223,p05_geocnn_r02,p05_vpcc_r02,0.0
224,p05_geocnn_r02,p05_vpcc_r03,-1.0
225,p05_geocnn_r02,p05_vpcc_r04,-1.0
226,p05_geocnn_r02,p05_vpcc_r05,-1.0
227,p05_geocnn_r03,p05_geocnn_r04,0.0
228,p05_geocnn_r03,p05_gpcc-octree-predlift_r02,1.0
229,p05_geocnn_r03,p05_gpcc-octree-predlift_r03,0.0
230,p05_geocnn_r03,p05_gpcc-octree-predlift_r04,0.0
231,p05_geocnn_r03,p05_gpcc-octree-predlift_r05,-1.0
232,p05_geocnn_r03,p05_gpcc-octree-predlift_r06,-1.0
233,p05_geocnn_r03,p05_gpcc-octree-raht_r02,1.0
234,p05_geocnn_r03,p05_gpcc-octree-raht_r03,1.0
235,p05_geocnn_r03,p05_gpcc-octree-raht_r04,0.0
236,p05_geocnn_r03,p05_gpcc-octree-raht_r05,-1.0
237,p05_geocnn_r03,p05_gpcc-octree-raht_r06,-1.0
238,p05_geocnn_r03,p05_vpcc_r00,1.0
239,p05_geocnn_r03,p05_vpcc_r01,1.0
240,p05_geocnn_r03,p05_vpcc_r02,0.0
241,p05_geocnn_r03,p05_vpcc_r03,0.0
242,p05_geocnn_r03,p05_vpcc_r04,0.0
243,p05_geocnn_r03,p05_vpcc_r05,0.0
244,p05_geocnn_r04,p05_gpcc-octree-predlift_r02,1.0
245,p05_geocnn_r04,p05_gpcc-octree-predlift_r03,0.0
246,p05_geocnn_r04,p05_gpcc-octree-predlift_r04,0.0
247,p05_geocnn_r04,p05_gpcc-octree-predlift_r05,-1.0
248,p05_geocnn_r04,p05_gpcc-octree-predlift_r06,-1.0
249,p05_geocnn_r04,p05_gpcc-octree-raht_r02,1.0
250,p05_geocnn_r04,p05_gpcc-octree-raht_r03,0.0
251,p05_geocnn_r04,p05_gpcc-octree-raht_r04,0.0
252,p05_geocnn_r04,p05_gpcc-octree-raht_r05,-1.0
253,p05_geocnn_r04,p05_gpcc-octree-raht_r06,-1.0
254,p05_geocnn_r04,p05_vpcc_r00,1.0
255,p05_geocnn_r04,p05_vpcc_r01,0.0
256,p05_geocnn_r04,p05_vpcc_r02,0.0
257,p05_geocnn_r04,p05_vpcc_r03,0.0
258,p05_geocnn_r04,p05_vpcc_r04,0.0
259,p05_geocnn_r04,p05_vpcc_r05,-1.0
260,p05_gpcc-octree-predlift_r02,p05_gpcc-octree-predlift_r03,-1.0
261,p05_gpcc-octree-predlift_r02,p05_gpcc-octree-predlift_r04,-1.0
262,p05_gpcc-octree-predlift_r02,p05_gpcc-octree-predlift_r05,-1.0
263,p05_gpcc-octree-predlift_r02,p05_gpcc-octree-predlift_r06,-1.0
